Match,Winner Odds,Winner,Winner Ratio,Real Ratio,Diff,Winner,ModelCorrect,Goals Odds,IsOver,Over Correct,Over Ratio
Manchester United VS. Brighton & Hove Albion,0.82,H,1.219512195,1.15,-0.069512195,H,1,0.540030471,1,1,1.851747361
Liverpool VS. Crystal Palace,0.778,H,1.285347044,1.1,-0.185347044,H,1,0.601844257,1,1,1.661559429
Huddersfield Town VS. Manchester City,0.7676,A,1.302761855,1.1,-0.202761855,A,1,0.55358152,1,1,1.806418681
Fulham VS. Tottenham Hotspur,0.7448,A,1.34264232,1.55,0.20735768,A,1,0.537142639,1,1,1.861702885
Watford VS. Burnley,0.6348,H,1.575299307,1.55,-0.025299307,D,0,0.527275954,0,1,1.896540118
Arsenal VS. Chelsea,0.492,D,2.032520325,3.15,1.117479675,H,0,0.5544296,1,0,1.803655505
Wolverhampton wanderers VS. Leicester City,0.4432,H,2.25631769,2.1,-0.15631769,H,1,0.501347219,1,1,1.994625606
Bournemouth VS. West Ham United,0.4052,D,2.467917078,2.75,0.282082922,H,0,0.507173045,1,0,1.971713617
Newcastle United VS. Cardiff City,0.4024,D,2.485089463,3.05,0.564910537,B,0,0.537069194,0,0,1.861957473
Southampton VS. Everton,0.3572,A,2.799552072,2.5,-0.299552072,H,0,0.521410046,1,1,1.917876357
