Match,Winner Odds,Winner,Winner Ratio,Real Ratio,Diff,Correct,Model Correct,Goals Odds,IsOver,Goals Correct,Over Ratio
Manchester City VS. Watford,0.954,H,1.048218029,1.05,0.001781971,H,1,0.766496542,1,1,1.304637327
Liverpool VS. Burnley,0.8968,H,1.115075825,1.05,-0.065075825,H,1,0.650761512,1,1,1.536661253
Chelsea VS. Wolverhampton wanderers,0.786,H,1.272264631,1.25,-0.022264631,D,0,0.51316029,1,0,1.948708851
Leicester City VS. Fulham,0.6668,H,1.49970006,1.5,0.00029994,H,1,0.524215798,0,0,1.907611337
Southampton VS. Tottenham Hotspur,0.5928,A,1.686909582,1.7,0.013090418,H,0,0.523747296,1,1,1.909317735
Cardiff City VS. West Ham United,0.528,H,1.893939394,2.85,0.956060606,H,1,0.513895653,1,0,1.945920331
Huddersfield Town VS. Bournemouth,0.4956,H,2.017756255,2.85,0.832243745,A,0,0.514790728,0,1,1.942536929
Crystal Palace VS. Brighton & Hove Albion,0.4676,H,2.138579983,1.65,-0.488579983,A,0,0.516069379,0,0,1.93772396
Arsenal VS. Manchester United,0.4312,H,2.319109462,2.1,-0.219109462,H,1,0.551601688,1,0,1.812902356
Newcastle United VS. Everton,0.4076,A,2.453385672,2.45,-0.003385672,H,0,0.504688623,0,0,1.981419739
