Match,Winner Odds,Winner,Winner Ratio,Real Ratio,Winner,Model Correct,Goals Odds,IsOver,isOverCorrect,Over Ratio
Liverpool VS. Southampton,0.700363847,H,1.427829269,1.1,H,1,0.665505737,1,1,1.502616648
Arsenal VS. Everton,0.653005244,H,1.53138127,1.35,H,1,0.54020689,1,0,1.851142625
Cardiff City VS. Manchester City,0.627890999,A,1.592633118,1.1,A,1,0.542905279,1,1,1.841941934
West Ham United VS. Chelsea,0.627660238,A,1.593218654,1.3,D,0,0.543285949,1,0,1.840651323
Manchester United VS. Wolverhampton wanderers,0.601700813,H,1.661955542,1.35,D,0,0.541900238,1,0,1.845358111
Brighton & Hove Albion VS. Tottenham Hotspur,0.580819158,A,1.721706295,1.55,A,1,0.552017427,1,1,1.81153701
Leicester City VS. Huddersfield Town,0.517254742,H,1.933283386,1.45,H,1,0.531760574,0,0,1.880545587
Crystal Palace VS. Newcastle United,0.465304314,H,2.149131158,1.8,D,0,0.53511453,0,1,1.868758823
Fulham VS. Watford,0.425613454,H,2.349549785,2.25,D,0,0.517267846,1,0,1.933234411
Burnley VS. Bournemouth,0.368710757,A,2.712153037,2.3,H,0,0.526113037,0,0,1.90073222
