Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Winner Ratio,Diff,Draw Ratio,Correct,Model Correct,Goals Odds,IsOver,Over Correct,Over Ratio
Leicester City VS. Southampton,0.7652,0.0864,0.1484,0.7652,H,1.306847883,1.35,0.043152117,0,A,0,0.514747236,1,1,1.942701059
Manchester United VS. Norwich City,0.7016,0.0772,0.2212,0.7016,H,1.425313569,1.2,-0.225313569,0,H,1,0.570994055,1,1,1.751331719
Tottenham Hotspur VS. Liverpool,0.6304,0.6304,0.2228,0.1468,A,1.586294416,1.55,-0.036294416,0,A,1,0.560424716,1,0,1.784360988
Everton VS. Brighton & Hove Albion,0.604,0.1808,0.2152,0.604,H,1.655629139,1.65,-0.005629139,0,H,1,0.504049167,1,0,1.983933443
Wolverhampton Wanderers VS. Newcastle United,0.5924,0.1916,0.216,0.5924,H,1.688048616,1.35,-0.338048616,0,D,0,0.567201871,0,1,1.763040727
Sheffield United VS. West Ham United,0.5296,0.2536,0.2168,0.5296,H,1.888217523,1.75,-0.138217523,0,H,1,0.511265151,1,0,1.955932257
Chelsea VS. Burnley,0.48,0.2236,0.2964,0.48,H,2.083333333,1.2,-0.883333333,0,H,1,0.545461201,0,0,1.833310965
Aston Villa VS. Manchester City,0.4496,0.4496,0.2176,0.3328,A,2.224199288,1.15,-1.074199288,0,A,1,0.562566127,1,1,1.777568807
Crystal Palace VS. Arsenal,0.4048,0.1924,0.4048,0.4028,D,2.470355731,3.4,0.929644269,0,D,1,0.507842652,1,0,1.969113849
Bournemouth VS. Watford,0.374,0.2908,0.3352,0.374,H,2.673796791,2.3,-0.373796791,0,A,0,0.521461705,0,0,1.917686363
