Match,Winner Odds,Home Odds,Draw Odds,Away Odds,Winner,Winner Ratio,Winner Ratio,Diff,Winner,Model Correct,Goals Odds,IsOver,Model Correct,Over Ratio
Sheffield United VS. Manchester City,0.6108,0.6108,0.1832,0.206,A,1.637197119,1.2,0.437197119,A,1,0.553240528,1,0,1.807532077
Liverpool VS. West Ham United,0.5972,0.1092,0.2936,0.5972,H,1.674480911,1.25,0.424480911,H,1,0.570219311,1,1,1.753711213
Burnley VS. Chelsea,0.5596,0.5596,0.23,0.2104,A,1.786990708,1.35,0.436990708,A,1,0.523768817,1,1,1.909239283
Manchester United VS. Arsenal,0.4648,0.2172,0.318,0.4648,H,2.151462995,1.8,0.351462995,A,0,0.513771357,1,0,1.946391106
Fulham VS. West Bromwich Albion,0.4588,0.242,0.2992,0.4588,H,2.179598954,2.2,-0.020401046,H,1,0.51451249,0,1,1.943587416
Newcastle United VS. Everton,0.4484,0.4484,0.2716,0.28,A,2.23015165,1.8,0.43015165,H,0,0.528697545,1,1,1.891440597
Tottenham Hotspur VS. Brighton & Hove Albion,0.4444,0.1412,0.4444,0.4144,D,2.250225023,3.75,-1.499774977,H,0,0.580639574,1,1,1.722238794
Aston Villa VS. Southampton,0.43,0.3396,0.43,0.2304,D,2.325581395,3.2,-0.874418605,A,0,0.545167184,1,1,1.834299695
Leeds United VS. Leicester City,0.384,0.2612,0.3548,0.384,H,2.604166667,2.35,0.254166667,A,0,0.514975821,1,1,1.941838741
Wolverhampton Wanderers VS. Crystal Palace,0.3604,0.3604,0.3196,0.32,A,2.774694784,3.75,-0.975305216,H,0,0.522478449,0,1,1.91395454
