HomeValue,HomeNormValue,AwayValue,AwayNormValue,HomePtsSeas,AwayPtsSeas,HomePtsLast,AwayPtsLast,HomePtsHome,AwayPtsAway,HomeGoalsSeas,AwayGoalsSeas,HomeGoalsLast,AwayGoalsLast,HomeGoalsHome,AwayGoalsAway,HomeGoalsExpected,AwayGoalsExpected,HomeGoalsConcSeas,AwayGoalsConcSeas,HomeGoalsConcLast,AwayGoalsConcLast,HomeGoalsConcHome,AwayGoalsConcAway,HomeGoalsExpectedConc,AwayGoalsExpectedConc,HomeGoalsExpectedVsTeam,AwayGoalsExpectedVsTeam,HomeTotalShots,AwayTotalShots,HomeShotsTarget,AwayShotsTarget,HomeTotalShotsAgst,AwayTotalShotsAgst,HomeShotsTargetAgst,AwayShotsTargetAgst,HomeTotalShotsVsTeam,AwayTotalShotsVsTeam,HomeShotsTargetVsTeam,AwayShotsTargetVsTeam,HomePossession,AwayPossession,HomeExpectedWin,AwayExpectedWin,HomeTrend,AwayTrend,HomeWeightedPoints,AwayWeightedPoints,ChanceCreationHome,ChanceCreationAway,ShotsAccuracyHome,ShotsAccuracyAway,ScoringRateHome,ScoringRateAway,KeeperStrengthHome,KeeperStrengthAway,Round,HomeTeamOdds,DrawOdds,AwayTeamOdds,isHomeFavorite,isAwayFavorite,HomeWon,AwayWon,Favorite,Winner,FavoriteWins,Over2.5
0.0051,0.51,0.1006,10.06,0.12,0.28,0.1,0.3,0.18,0.3,0.07,0.33,0.03,0.27,0.08,0.27,0.06,0.29,0.14,0.06,0.23,0.1,0.1,0.05,0.16,0.07,0.07,0.22,0.1,0.17,0.03,0.07,0.12,0.06,0.04,0.02,0.08,0.14,0.03,0.06,0.46,0.72,0.4,0.49,-0.01,0.1,0.0394,0.0938,0.048,0.042,0.033,0.025,0.043,0.02,0.081,0.105,0.12,16.89,7.65,1.18,0,1,0,1,A,A,1,1
0.0152,1.52,0.1006,10.06,0.09,0.27,0.1,0.3,0.14,0.25,0.1,0.29,0.07,0.3,0.11,0.23,0.09,0.27,0.19,0.07,0.07,0.03,0.15,0.07,0.13,0.06,0.08,0.2,0.1,0.17,0.03,0.07,0.15,0.06,0.06,0.02,0.08,0.16,0.03,0.06,0.41,0.72,0.36,0.49,0,0.03,0.0211,0.0915,0.041,0.042,0.029,0.025,0.036,0.024,0.082,0.089,0.29,13.34,6.57,1.23,0,1,0,1,A,A,1,0
0.0176,1.76,0.1006,10.06,0.1,0.29,0.1,0.3,0.11,0.3,0.1,0.32,0.1,0.4,0.1,0.27,0.1,0.33,0.15,0.06,0.13,0.03,0.13,0.06,0.14,0.05,0.08,0.23,0.12,0.17,0.04,0.07,0.13,0.06,0.04,0.02,0.09,0.15,0.03,0.05,0.42,0.72,0.35,0.49,0.01,0.17,0.0238,0.1004,0.035,0.042,0.03,0.025,0.039,0.022,0.082,0.097,0.19,12.03,6.52,1.24,0,1,0,1,A,A,1,0
0.0147,1.47,0.1006,10.06,0.08,0.29,0.1,0.3,0.09,0.3,0.06,0.3,0.07,0.2,0.06,0.25,0.06,0.25,0.11,0.07,0.1,0.1,0.12,0.06,0.11,0.08,0.07,0.18,0.09,0.17,0.03,0.07,0.14,0.06,0.05,0.02,0.08,0.16,0.03,0.06,0.45,0.72,0.26,0.49,0.01,0.14,0.0149,0.0977,0.051,0.042,0.031,0.025,0.051,0.023,0.127,0.089,0.16,12.54,6.42,1.24,0,1,0,1,A,A,1,1
0.0082,0.82,0.1006,10.06,0.12,0.22,0.13,0.23,0.19,0.25,0.09,0.22,0.1,0.23,0.14,0.25,0.11,0.24,0.16,0.09,0.2,0.07,0.09,0.1,0.15,0.09,0.1,0.19,0.1,0.17,0.03,0.06,0.18,0.08,0.06,0.03,0.09,0.17,0.03,0.06,0.4,0.65,0.33,0.54,-0.01,0.01,0.0506,0.0566,0.039,0.039,0.032,0.029,0.034,0.025,0.111,0.085,0.12,11.7,6.53,1.25,0,1,0,1,A,A,1,1
0.0089,0.89,0.1006,10.06,0.08,0.2,0.1,0.23,0.1,0.2,0.07,0.19,0.07,0.2,0.08,0.21,0.07,0.2,0.13,0.11,0.2,0.03,0.11,0.12,0.15,0.09,0.08,0.17,0.09,0.17,0.03,0.06,0.14,0.08,0.05,0.03,0.09,0.16,0.03,0.05,0.47,0.65,0.26,0.54,0.01,0,0.0156,0.0485,0.052,0.039,0.035,0.029,0.037,0.03,0.115,0.074,0.335,11.33,6.06,1.27,0,1,0,0,A,D,0,1
0.0105,1.05,0.1006,10.06,0.11,0.28,0.07,0.3,0.15,0.3,0.08,0.36,0.1,0.37,0.1,0.28,0.09,0.33,0.11,0.04,0.13,0.07,0.08,0.02,0.11,0.05,0.07,0.22,0.1,0.17,0.03,0.07,0.14,0.06,0.04,0.02,0.08,0.15,0.03,0.06,0.4,0.72,0.44,0.49,-0.01,0.07,0.0186,0.0919,0.041,0.042,0.033,0.025,0.038,0.019,0.122,0.139,0.09,11.42,5.87,1.27,0,1,0,1,A,A,1,1
0.0077,0.77,0.1006,10.06,0.07,0.21,0.1,0.3,0.09,0.21,0.09,0.2,0.13,0.27,0.11,0.22,0.11,0.23,0.18,0.12,0.2,0.03,0.18,0.12,0.19,0.09,0.1,0.21,0.1,0.17,0.03,0.06,0.18,0.08,0.07,0.03,0.09,0.17,0.03,0.06,0.4,0.65,0.26,0.54,-0.02,0.03,0.019,0.0492,0.039,0.039,0.032,0.029,0.035,0.028,0.096,0.068,0.255,10.67,6.22,1.28,0,1,0,1,A,A,1,0
0.0152,1.52,0.0834,8.34,0.08,0.21,0,0.3,0.12,0.19,0.09,0.2,0.03,0.3,0.11,0.19,0.08,0.23,0.19,0.08,0.23,0.07,0.16,0.11,0.19,0.09,0.08,0.21,0.1,0.16,0.03,0.06,0.15,0.09,0.06,0.03,0.1,0.16,0.03,0.06,0.41,0.62,0.36,0.38,-0.03,0.05,0.0191,0.0652,0.041,0.038,0.029,0.029,0.038,0.028,0.08,0.112,0.315,10.88,5.84,1.28,0,1,0,1,A,A,1,1
0.0082,0.82,0.1006,10.06,0.14,0.27,0.03,0.2,0.14,0.26,0.08,0.29,0.03,0.3,0.07,0.23,0.06,0.28,0.09,0.07,0.1,0.17,0.08,0.08,0.09,0.1,0.08,0.18,0.1,0.17,0.03,0.07,0.15,0.06,0.04,0.02,0.08,0.16,0.03,0.06,0.44,0.72,0.33,0.49,0,0.02,0.044,0.0846,0.044,0.042,0.029,0.025,0.043,0.023,0.17,0.085,0.25,12.02,5.6,1.28,0,1,0,0,A,D,0,0
