HomeValue,AwayValue,HomePtsSeas,AwayPtsSeas,HomePtsLast,AwayPtsLast,HomePtsHome,AwayPtsAway,HomeGoalsSeas,AwayGoalsSeas,HomeGoalsLast,AwayGoalsLast,HomeGoalsHome,AwayGoalsAway,HomeGoalsExpected,AwayGoalsExpected,HomeGoalsConcSeas,AwayGoalsConcSeas,HomeGoalsConcLast,AwayGoalsConcLast,HomeGoalsConcHome,AwayGoalsConcAway,HomeGoalsExpectedConc,AwayGoalsExpectedConc,HomeGoalsExpectedVsTeam,AwayGoalsExpectedVsTeam,HomeTotalShots,AwayTotalShots,HomeShotsTarget,AwayShotsTarget,HomeTotalShotsAgst,AwayTotalShotsAgst,HomeShotsTargetAgst,AwayShotsTargetAgst,HomeTotalShotsVsTeam,AwayTotalShotsVsTeam,HomeShotsTargetVsTeam,AwayShotsTargetVsTeam,HomePossession,AwayPossession,HomeExpectedWin,AwayExpectedWin,HomeTrend,AwayTrend,HomeWeightedPoints,AwayWeightedPoints,ChanceCreationHome,ChanceCreationAway,ShotsAccuracyHome,ShotsAccuracyAway,ScoringRateHome,ScoringRateAway,KeeperStrengthHome,KeeperStrengthAway,Round,Winner,Over2.5
0.0176,0.0899,0.15,0.18,0.2,0.13,0.2,0.13,0.1,0.2,0.1,0.13,0.17,0.2,0.12,0.18,0.08,0.18,0.07,0.27,0.1,0.33,0.08,0.26,0.19,0.13,0.12,0.17,0.04,0.06,0.13,0.07,0.04,0.03,0.1,0.15,0.03,0.05,0.42,0.61,0.35,0.36,-0.01,0.01,0.0292,0.0595,0.035,0.036,0.03,0.027,0.039,0.031,0.152,0.041,0.06,D,FALSE
0.0435,0.0082,0.12,0.15,0.1,0.17,0.2,0.17,0.07,0.1,0.07,0.07,0.1,0.17,0.08,0.11,0.18,0.08,0.27,0.03,0.13,0.13,0.19,0.08,0.08,0.15,0.09,0.1,0.03,0.03,0.14,0.15,0.05,0.04,0.12,0.12,0.04,0.04,0.46,0.44,0.37,0.33,0.01,0,0.0326,0.0842,0.048,0.044,0.029,0.029,0.049,0.035,0.078,0.181,0.06,A,FALSE
0.0559,0.0061,0.17,0.12,0.23,0.2,0.3,0.03,0.15,0.08,0.17,0.17,0.3,0.03,0.21,0.09,0.13,0.12,0,0.1,0.1,0.13,0.08,0.12,0.16,0.09,0.16,0.1,0.06,0.03,0.11,0.14,0.04,0.05,0.15,0.11,0.06,0.04,0.62,0.44,0.37,0.38,0.01,0.01,0.0447,0.0168,0.04,0.044,0.025,0.032,0.042,0.037,0.084,0.122,0.06,H,FALSE
0.0874,0.1006,0.22,0.27,0.23,0.3,0.13,0.3,0.2,0.35,0.2,0.53,0.13,0.33,0.18,0.41,0.08,0.03,0.03,0,0.1,0.03,0.07,0.02,0.1,0.24,0.16,0.17,0.06,0.07,0.1,0.06,0.03,0.02,0.11,0.14,0.04,0.05,0.56,0.72,0.37,0.49,0.01,0.04,0.097,0.0824,0.035,0.042,0.028,0.025,0.029,0.019,0.12,0.185,0.06,A,FALSE
0.0286,0.0147,0.07,0.08,0.13,0.03,0.15,0.17,0.1,0.05,0.13,0.03,0.2,0.07,0.14,0.05,0.22,0.12,0.1,0.1,0.15,0,0.16,0.07,0.11,0.1,0.1,0.09,0.04,0.03,0.15,0.14,0.05,0.05,0.12,0.12,0.04,0.04,0.45,0.45,0.45,0.26,-0.01,-0.01,0.0043,0.0291,0.046,0.051,0.028,0.031,0.035,0.057,0.068,0.121,0.06,H,FALSE
0.0105,0.0165,0.13,0.18,0.03,0.2,0.17,0.3,0.07,0.15,0.03,0.13,0.07,0.2,0.06,0.16,0.1,0.17,0.17,0.23,0.03,0.03,0.1,0.14,0.1,0.13,0.1,0.12,0.03,0.04,0.14,0.11,0.04,0.04,0.1,0.13,0.04,0.04,0.4,0.5,0.44,0.27,-0.01,0.01,0.0196,0.0448,0.041,0.043,0.033,0.032,0.045,0.024,0.136,0.065,0.06,D,TRUE
0.0152,0.0266,0.08,0.13,0.03,0.1,0.13,0.2,0.08,0.07,0.1,0.03,0.1,0.05,0.09,0.05,0.17,0.08,0.27,0.1,0.2,0,0.21,0.06,0.08,0.13,0.1,0.12,0.03,0.04,0.15,0.13,0.06,0.05,0.12,0.14,0.04,0.05,0.41,0.52,0.36,0.35,-0.02,-0.01,0.044,0.0284,0.041,0.044,0.029,0.031,0.042,0.057,0.091,0.156,0.06,H,TRUE
0.0855,0.0215,0.27,0,0.23,0,0.3,0,0.28,0,0.23,0,0.33,0,0.28,0,0.03,0.22,0.07,0.23,0,0.23,0.03,0.23,0.26,0.02,0.13,0.12,0.05,0.04,0.11,0.12,0.04,0.05,0.13,0.12,0.05,0.04,0.55,0.45,0.37,0.54,0.02,-0.05,0.0759,0,0.041,0.036,0.029,0.032,0.017,0,0.348,0.057,0.06,H,TRUE
0.0164,0.0333,0.05,0.07,0.1,0.03,0.1,0.03,0.07,0.15,0.1,0.13,0.1,0.13,0.09,0.14,0.18,0.2,0.2,0.2,0.17,0.23,0.18,0.21,0.15,0.16,0.12,0.11,0.04,0.04,0.14,0.13,0.05,0.04,0.13,0.13,0.04,0.04,0.48,0.48,0.38,0.27,-0.01,-0.01,0.0031,0.0039,0.039,0.042,0.029,0.028,0.062,0.027,0.079,0.064,0.06,D,FALSE
0.0051,0.0834,0.15,0.18,0.07,0.23,0.17,0.3,0.08,0.17,0.03,0.2,0.07,0.27,0.06,0.21,0.05,0.08,0.1,0.07,0.03,0.07,0.06,0.07,0.07,0.14,0.1,0.16,0.03,0.06,0.12,0.09,0.04,0.03,0.09,0.14,0.03,0.05,0.46,0.62,0.4,0.38,0,0.01,0.0309,0.0487,0.048,0.038,0.033,0.029,0.035,0.034,0.231,0.113,0.06,A,TRUE
