@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsExpected NUMERIC
@ATTRIBUTE AwayGoalsExpected NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE HomeGoalsExpectedConc NUMERIC
@ATTRIBUTE AwayGoalsExpectedConc NUMERIC
@ATTRIBUTE HomeGoalsExpectedVsTeam NUMERIC
@ATTRIBUTE AwayGoalsExpectedVsTeam NUMERIC
@ATTRIBUTE HomeTotalShots NUMERIC
@ATTRIBUTE AwayTotalShots NUMERIC
@ATTRIBUTE HomeShotsTarget NUMERIC
@ATTRIBUTE AwayShotsTarget NUMERIC
@ATTRIBUTE HomeTotalShotsAgst NUMERIC
@ATTRIBUTE AwayTotalShotsAgst NUMERIC
@ATTRIBUTE HomeShotsTargetAgst NUMERIC
@ATTRIBUTE AwayShotsTargetAgst NUMERIC
@ATTRIBUTE HomeTotalShotsVsTeam NUMERIC
@ATTRIBUTE AwayTotalShotsVsTeam NUMERIC
@ATTRIBUTE HomeShotsTargetVsTeam NUMERIC
@ATTRIBUTE AwayShotsTargetVsTeam NUMERIC
@ATTRIBUTE HomePossession NUMERIC
@ATTRIBUTE AwayPossession NUMERIC
@ATTRIBUTE HomeExpectedWin NUMERIC
@ATTRIBUTE AwayExpectedWin NUMERIC
@ATTRIBUTE HomeTrend NUMERIC
@ATTRIBUTE AwayTrend NUMERIC
@ATTRIBUTE HomeWeightedPoints NUMERIC
@ATTRIBUTE AwayWeightedPoints NUMERIC
@ATTRIBUTE ChanceCreationHome NUMERIC
@ATTRIBUTE ChanceCreationAway NUMERIC
@ATTRIBUTE ShotsAccuracyHome NUMERIC
@ATTRIBUTE ShotsAccuracyAway NUMERIC
@ATTRIBUTE ScoringRateHome NUMERIC
@ATTRIBUTE ScoringRateAway NUMERIC
@ATTRIBUTE KeeperStrengthHome NUMERIC
@ATTRIBUTE KeeperStrengthAway NUMERIC
@ATTRIBUTE Round NUMERIC
@ATTRIBUTE Winner {H, D, A}
@ATTRIBUTE Over2.5 {True, False}
@data
0.0855,0.0286,0.2,0.16,0.23,0.07,0.23,0.19,0.14,0.18,0.17,0.1,0.15,0.19,0.15,0.16,0.07,0.15,0.07,0.2,0.02,0.14,0.05,0.16,0.16,0.1,0.08,0.11,0.04,0.05,0.08,0.1,0.03,0.04,0.09,0.1,0.04,0.04,0.58,0.48,0.37,0.27,0,0,0.0735,0.0848,0.075,0.044,0.02,0.022,0.027,0.028,0.116,0.065,0.14,D,False
0.0855,0.0061,0.18,0.09,0.07,0.07,0.21,0.06,0.13,0.11,0.07,0.07,0.13,0.11,0.11,0.1,0.08,0.18,0.1,0.13,0.01,0.22,0.06,0.18,0.14,0.08,0.08,0.08,0.04,0.03,0.08,0.1,0.03,0.05,0.09,0.08,0.04,0.03,0.58,0.46,0.37,0.27,-0.01,0,0.0661,0.0218,0.075,0.054,0.02,0.024,0.029,0.031,0.11,0.057,0.16,A,True
0.0855,0.0072,0.17,0.05,0.2,0,0.21,0.04,0.12,0.07,0.07,0.03,0.13,0.07,0.11,0.06,0.09,0.19,0.1,0.23,0.05,0.21,0.08,0.21,0.16,0.07,0.08,0.07,0.04,0.03,0.08,0.1,0.03,0.05,0.09,0.08,0.04,0.03,0.58,0.47,0.37,0.30,-0.01,-0.08,0.0706,0.0108,0.075,0.063,0.02,0.025,0.031,0.043,0.088,0.053,0.325,H,False
0.0855,0.0435,0.17,0.13,0.2,0.1,0.2,0.17,0.13,0.18,0.07,0.17,0.14,0.17,0.11,0.17,0.09,0.14,0.03,0.2,0.05,0.1,0.06,0.15,0.13,0.11,0.08,0.09,0.04,0.05,0.08,0.1,0.03,0.05,0.09,0.09,0.04,0.04,0.58,0.52,0.37,0.35,0.01,-0.02,0.0709,0.0393,0.075,0.057,0.02,0.02,0.03,0.026,0.092,0.074,0.295,H,False
0.0855,0.1006,0.21,0.23,0.2,0.2,0.25,0.22,0.17,0.27,0.2,0.4,0.18,0.18,0.18,0.28,0.09,0.09,0.1,0.2,0.02,0.1,0.07,0.13,0.16,0.18,0.08,0.12,0.04,0.06,0.08,0.07,0.03,0.03,0.07,0.1,0.04,0.04,0.58,0.57,0.37,0.34,0.01,0.02,0.0881,0.0711,0.075,0.049,0.02,0.021,0.023,0.021,0.093,0.08,0.09,D,False
0.0855,0.0105,0.19,0.13,0.17,0.2,0.22,0.2,0.14,0.09,0.1,0.13,0.14,0.06,0.13,0.09,0.07,0.13,0,0.1,0.02,0.04,0.03,0.09,0.11,0.06,0.08,0.08,0.04,0.03,0.08,0.1,0.03,0.04,0.09,0.08,0.04,0.03,0.58,0.4,0.37,0.34,0,-0.01,0.0831,0.0138,0.075,0.053,0.02,0.026,0.028,0.032,0.113,0.077,0.11,H,False
0.0855,0.0165,0.16,0.14,0.13,0.13,0.19,0.14,0.13,0.11,0.17,0.07,0.14,0.12,0.15,0.1,0.1,0.1,0.17,0.07,0.05,0.13,0.11,0.1,0.12,0.1,0.08,0.08,0.04,0.04,0.08,0.1,0.03,0.05,0.09,0.08,0.04,0.04,0.58,0.45,0.37,0.36,0.01,0,0.0658,0.0358,0.075,0.054,0.02,0.023,0.029,0.035,0.086,0.099,0.27,H,False
0.0855,0.0559,0.16,0.20,0.13,0.23,0.18,0.18,0.13,0.16,0.17,0.13,0.12,0.18,0.14,0.16,0.09,0.09,0.1,0.03,0.04,0.12,0.08,0.08,0.11,0.12,0.08,0.11,0.04,0.06,0.08,0.09,0.03,0.04,0.08,0.1,0.04,0.04,0.58,0.59,0.37,0.45,-0.01,0.02,0.0619,0.0635,0.075,0.053,0.02,0.02,0.03,0.036,0.09,0.098,0.26,H,True
0.0855,0.0077,0.22,0.03,0.2,0.03,0.23,0.03,0.15,0.1,0.23,0.07,0.13,0.13,0.17,0.1,0.08,0.22,0.17,0.17,0.03,0.27,0.09,0.22,0.19,0.1,0.08,0.08,0.04,0.04,0.08,0.11,0.03,0.06,0.1,0.08,0.05,0.04,0.58,0.41,0.37,0.45,0.02,-0.02,0.1065,0.0036,0.075,0.048,0.02,0.023,0.026,0.037,0.1,0.052,0.06,H,True
0.0855,0.0874,0.16,0.11,0,0.13,0.19,0.06,0.12,0.13,0.07,0.2,0.12,0.1,0.1,0.14,0.09,0.16,0.2,0.17,0.04,0.19,0.11,0.17,0.14,0.13,0.08,0.1,0.04,0.05,0.08,0.09,0.03,0.05,0.08,0.09,0.04,0.04,0.58,0.57,0.37,0.34,-0.03,0,0.0588,0.0219,0.075,0.058,0.02,0.021,0.031,0.036,0.093,0.057,0.18,D,False
0.0855,0.0152,0.16,0.14,0.13,0.13,0.17,0.13,0.12,0.1,0.13,0.1,0.11,0.09,0.12,0.1,0.09,0.11,0.13,0.13,0.04,0.12,0.09,0.12,0.12,0.09,0.08,0.09,0.04,0.03,0.08,0.1,0.03,0.05,0.09,0.08,0.04,0.03,0.58,0.5,0.37,0.36,-0.01,-0.01,0.0642,0.0604,0.075,0.058,0.02,0.025,0.031,0.032,0.091,0.093,0.23,H,True
0.0855,0.0266,0.17,0.14,0.23,0.2,0.19,0.1,0.13,0.14,0.2,0.17,0.12,0.09,0.15,0.13,0.09,0.11,0.13,0.03,0.04,0.11,0.09,0.08,0.12,0.11,0.08,0.1,0.04,0.04,0.08,0.09,0.03,0.04,0.08,0.09,0.04,0.04,0.58,0.5,0.37,0.54,0.01,0.02,0.0671,0.0373,0.075,0.047,0.02,0.024,0.03,0.031,0.091,0.079,0.22,A,False
0.0855,0.0147,0.16,0.1,0.03,0.17,0.18,0.07,0.12,0.08,0.03,0.03,0.11,0.08,0.09,0.06,0.08,0.13,0.13,0,0.03,0.13,0.08,0.09,0.09,0.07,0.08,0.08,0.04,0.04,0.08,0.1,0.03,0.04,0.09,0.08,0.04,0.04,0.58,0.52,0.37,0.45,0,0,0.0603,0.0343,0.075,0.063,0.02,0.023,0.033,0.044,0.098,0.08,0.19,H,True
0.0164,0.0855,0.09,0.19,0.17,0.17,0.09,0.18,0.12,0.13,0.2,0.1,0.11,0.14,0.14,0.12,0.2,0.07,0.17,0.07,0.17,0.11,0.18,0.08,0.11,0.15,0.08,0.08,0.04,0.04,0.09,0.08,0.04,0.03,0.08,0.08,0.04,0.04,0.52,0.58,0.30,0.37,0.01,0,0.0319,0.0705,0.061,0.075,0.023,0.02,0.031,0.029,0.044,0.123,0.15,H,True
0.0164,0.0286,0.10,0.16,0.07,0.23,0.11,0.16,0.11,0.15,0,0.17,0.11,0.14,0.07,0.15,0.17,0.12,0.07,0.07,0.14,0.11,0.13,0.1,0.09,0.14,0.08,0.11,0.04,0.05,0.09,0.1,0.04,0.04,0.09,0.1,0.04,0.05,0.52,0.48,0.30,0.27,0,0.02,0.0411,0.0829,0.061,0.044,0.023,0.022,0.034,0.033,0.052,0.084,0.2,A,True
0.0164,0.0061,0.1,0.11,0.03,0.2,0.1,0.07,0.11,0.11,0.03,0.13,0.11,0.11,0.08,0.12,0.18,0.17,0.17,0.1,0.16,0.23,0.17,0.16,0.12,0.14,0.08,0.08,0.04,0.03,0.09,0.1,0.04,0.05,0.09,0.09,0.04,0.04,0.52,0.46,0.30,0.27,-0.01,-0.01,0.0391,0.0337,0.061,0.054,0.023,0.024,0.034,0.03,0.05,0.06,0.21,H,True
0.0164,0.0215,0.11,0.17,0.3,0.23,0.11,0.2,0.13,0.14,0.17,0.13,0.12,0.14,0.14,0.14,0.19,0.09,0.07,0.07,0.16,0.09,0.14,0.08,0.11,0.14,0.08,0.09,0.04,0.04,0.09,0.1,0.04,0.05,0.09,0.09,0.04,0.04,0.52,0.46,0.30,0.27,0.03,0.02,0.0451,0.0565,0.061,0.049,0.023,0.023,0.029,0.03,0.047,0.11,0.17,D,False
0.0164,0.0834,0.09,0.16,0.03,0.17,0.12,0.12,0.12,0.12,0.1,0.2,0.1,0.1,0.11,0.14,0.19,0.08,0.27,0.1,0.08,0.1,0.18,0.09,0.1,0.16,0.08,0.13,0.04,0.07,0.09,0.07,0.04,0.03,0.08,0.11,0.03,0.05,0.52,0.57,0.30,0.33,-0.01,0,0.0176,0.0651,0.061,0.045,0.023,0.019,0.031,0.055,0.046,0.095,0.09,A,True
0.0164,0.0435,0.07,0.15,0.03,0.23,0.08,0.15,0.11,0.18,0.07,0.37,0.08,0.13,0.09,0.23,0.21,0.12,0.17,0.1,0.15,0.08,0.18,0.1,0.09,0.2,0.08,0.09,0.04,0.05,0.09,0.1,0.04,0.05,0.09,0.09,0.04,0.04,0.52,0.52,0.30,0.35,0,0.01,0.0133,0.0501,0.061,0.057,0.023,0.02,0.035,0.025,0.042,0.085,0.13,D,True
0.0164,0.1006,0.12,0.17,0.2,0.13,0.13,0.14,0.12,0.17,0.2,0.13,0.13,0.09,0.15,0.13,0.16,0.11,0.2,0.03,0.15,0.1,0.17,0.08,0.12,0.15,0.08,0.12,0.04,0.06,0.09,0.07,0.04,0.03,0.08,0.1,0.04,0.05,0.52,0.57,0.30,0.34,-0.01,-0.01,0.0357,0.0389,0.061,0.049,0.023,0.021,0.03,0.032,0.054,0.066,0.305,A,True
