,0,1,2
0,correspond,COUNT,1
1,correspond,nsubj,1
2,correspond,prep,1
3,be,COUNT,8599
4,be,nsubj,5720
5,be,attr,5611
6,be,meta,141
7,be,prep,550
8,be,ccomp,79
9,be,expl,12
10,be,advmod,127
11,be,acomp,183
12,be,aux,67
13,be,cc,320
14,be,conj,372
15,be,mark,65
16,be,advcl,264
17,be,dep,33
18,be,neg,16
19,be,npadvmod,123
20,be,xcomp,30
21,be,parataxis,14
22,be,csubj,16
23,be,intj,2
24,be,det,1
25,be,dobj,1
26,be,subtok,1
27,operate,COUNT,58
28,operate,agent,16
29,operate,advmod,6
30,operate,nsubj,19
31,operate,dobj,17
32,operate,prep,44
33,operate,aux,5
34,operate,cc,1
35,operate,conj,1
36,operate,nsubjpass,5
37,operate,auxpass,6
38,operate,ccomp,1
39,operate,npadvmod,1
40,operate,advcl,2
41,bear,COUNT,17
42,bear,npadvmod,8
43,bear,advmod,2
44,bear,nsubjpass,6
45,bear,auxpass,5
46,bear,prep,6
47,bear,ccomp,1
48,bear,nsubj,2
49,bear,dobj,4
50,bear,aux,3
51,bear,agent,2
52,bear,mark,1
53,live,COUNT,47
54,live,advmod,18
55,live,prep,29
56,live,nsubj,18
57,live,aux,3
58,live,cc,1
59,live,conj,2
60,live,dobj,1
61,live,npadvmod,1
62,live,prt,1
63,live,advcl,1
64,develop,COUNT,46
65,develop,prep,15
66,develop,nsubj,5
67,develop,advcl,4
68,develop,mark,1
69,develop,dobj,7
70,develop,agent,25
71,develop,cc,14
72,develop,conj,14
73,develop,aux,5
74,develop,nsubjpass,2
75,develop,auxpass,3
76,develop,advmod,1
77,base,COUNT,141
78,base,prep,124
79,base,npadvmod,20
80,base,agent,2
81,base,nsubjpass,8
82,base,auxpass,8
83,base,cc,11
84,base,conj,1
85,base,advmod,6
86,base,det,1
87,base,dobj,1
88,base,aux,1
89,regard,COUNT,5
90,regard,pobj,2
91,regard,nsubjpass,2
92,regard,auxpass,2
93,regard,advmod,2
94,regard,prep,3
95,regard,cc,1
96,regard,conj,1
97,regard,nsubj,1
98,drink,COUNT,3
99,drink,prep,3
100,drink,compound,1
101,drink,aux,1
102,drink,dobj,1
103,release,COUNT,243
104,release,prep,270
105,release,agent,58
106,release,nsubjpass,65
107,release,auxpass,69
108,release,aux,8
109,release,npadvmod,12
110,release,cc,10
111,release,conj,10
112,release,xcomp,2
113,release,nsubj,10
114,release,dobj,8
115,release,parataxis,4
116,release,advmod,23
117,release,advcl,5
118,release,subtok,2
119,release,dep,1
120,release,meta,2
121,release,ccomp,1
122,release,mark,1
123,release,neg,1
124,release,det,1
125,release,amod,1
126,sign,COUNT,20
127,sign,nsubjpass,8
128,sign,auxpass,7
129,sign,prep,20
130,sign,dobj,3
131,sign,ccomp,3
132,sign,dep,1
133,sign,prt,3
134,sign,agent,5
135,sign,cc,2
136,sign,conj,3
137,sign,advmod,2
138,sign,nsubj,4
139,sign,meta,2
140,sign,npadvmod,1
141,sign,advcl,2
142,accord,COUNT,36
143,accord,prep,44
144,accord,npadvmod,1
145,feature,COUNT,118
146,feature,dobj,84
147,feature,ccomp,4
148,feature,nsubj,49
149,feature,cc,6
150,feature,conj,5
151,feature,prep,49
152,feature,advmod,9
153,feature,aux,5
154,feature,nsubjpass,7
155,feature,auxpass,7
156,feature,advcl,1
157,feature,mark,1
158,feature,npadvmod,2
159,cease,COUNT,4
160,cease,mark,2
161,cease,nsubj,2
162,cease,dobj,2
163,cease,advcl,1
164,cease,advmod,1
165,cease,prep,2
166,burn,COUNT,6
167,burn,dobj,1
168,burn,nsubjpass,2
169,burn,aux,1
170,burn,auxpass,2
171,burn,cc,1
172,burn,conj,1
173,burn,mark,1
174,burn,nsubj,1
175,burn,prt,1
176,burn,prep,3
177,burn,advcl,1
178,burn,oprd,1
179,host,COUNT,29
180,host,agent,15
181,host,advmod,1
182,host,dobj,7
183,host,auxpass,6
184,host,nsubjpass,5
185,host,prep,4
186,host,nsubj,3
187,host,aux,3
188,host,compound,1
189,host,npadvmod,5
190,host,advcl,1
191,know,COUNT,327
192,know,advmod,210
193,know,prep,257
194,know,nsubjpass,45
195,know,auxpass,54
196,know,advcl,5
197,know,xcomp,3
198,know,dobj,1
199,know,nsubj,14
200,know,aux,7
201,know,cc,11
202,know,conj,10
203,know,npadvmod,8
204,know,dep,2
205,know,agent,8
206,know,neg,2
207,know,ccomp,1
208,come,COUNT,50
209,come,nsubj,44
210,come,prt,5
211,come,prep,54
212,come,cc,10
213,come,conj,10
214,come,advmod,8
215,come,aux,10
216,come,mark,1
217,come,parataxis,1
218,come,advcl,6
219,come,amod,1
220,come,ccomp,3
221,come,neg,1
222,come,npadvmod,1
223,come,dobj,1
224,come,dep,1
225,perform,COUNT,19
226,perform,nsubj,5
227,perform,dobj,7
228,perform,prep,19
229,perform,mark,2
230,perform,nsubjpass,5
231,perform,auxpass,5
232,perform,advmod,7
233,perform,cc,3
234,perform,conj,4
235,perform,meta,2
236,perform,advcl,1
237,perform,agent,2
238,perform,npadvmod,1
239,perform,aux,1
240,mean,COUNT,6
241,mean,nsubj,3
242,mean,ccomp,4
243,mean,prep,1
244,mean,nummod,1
245,mean,dobj,1
246,consider,COUNT,20
247,consider,nsubjpass,15
248,consider,auxpass,15
249,consider,xcomp,7
250,consider,advcl,1
251,consider,oprd,10
252,consider,advmod,4
253,consider,mark,2
254,consider,aux,5
255,consider,agent,1
256,consider,prep,5
257,consider,nsubj,3
258,consider,dobj,2
259,consider,cc,1
260,consider,conj,3
261,consider,neg,1
262,go,COUNT,35
263,go,nsubj,29
264,go,prep,35
265,go,mark,2
266,go,advmod,8
267,go,advcl,7
268,go,aux,5
269,go,cc,2
270,go,conj,3
271,go,ccomp,3
272,go,npadvmod,3
273,go,acomp,1
274,go,dep,1
275,go,prt,5
276,go,xcomp,2
277,go,dobj,2
278,start,COUNT,29
279,start,nsubj,13
280,start,xcomp,3
281,start,prep,20
282,start,advmod,1
283,start,cc,5
284,start,conj,5
285,start,dobj,4
286,start,aux,3
287,start,neg,2
288,start,npadvmod,1
289,start,ccomp,1
290,throw,COUNT,3
291,throw,aux,1
292,throw,dobj,3
293,throw,nsubj,2
294,throw,prep,3
295,note,COUNT,7
296,note,mark,1
297,note,prep,2
298,note,nsubj,4
299,note,dobj,2
300,note,nsubjpass,1
301,note,aux,1
302,note,auxpass,1
303,note,ccomp,2
304,require,COUNT,5
305,require,nsubj,2
306,require,ccomp,1
307,require,advmod,1
308,require,mark,1
309,require,dobj,1
310,require,nsubjpass,1
311,require,auxpass,1
312,require,neg,1
313,require,xcomp,1
314,store,COUNT,1
315,store,mark,1
316,store,nsubjpass,1
317,store,auxpass,1
318,store,prep,1
319,will,COUNT,57
320,order,COUNT,6
321,order,ccomp,2
322,order,advmod,1
323,order,nsubjpass,5
324,order,aux,1
325,order,auxpass,5
326,order,xcomp,1
327,order,cc,2
328,order,conj,3
329,order,prep,2
330,order,agent,1
331,order,dobj,1
332,lay,COUNT,4
333,lay,advmod,3
334,lay,prt,2
335,lay,prep,1
336,lay,npadvmod,1
337,lay,conj,1
338,lay,dobj,1
339,broadcast,COUNT,39
340,broadcast,advmod,9
341,broadcast,aux,5
342,broadcast,dobj,7
343,broadcast,dative,1
344,broadcast,prep,34
345,broadcast,nsubjpass,14
346,broadcast,auxpass,15
347,broadcast,nsubj,8
348,broadcast,agent,4
349,broadcast,det,1
350,broadcast,compound,2
351,broadcast,prt,1
352,broadcast,npadvmod,3
353,broadcast,cc,1
354,broadcast,conj,1
355,broadcast,advcl,1
356,broadcast,oprd,1
357,use,COUNT,134
358,use,agent,8
359,use,prep,86
360,use,nsubj,19
361,use,dobj,40
362,use,nsubjpass,42
363,use,auxpass,58
364,use,conj,6
365,use,xcomp,27
366,use,advmod,32
367,use,aux,12
368,use,cc,4
369,use,advcl,8
370,use,ccomp,4
371,use,mark,3
372,use,meta,1
373,use,npadvmod,1
374,allege,COUNT,2
375,allege,ccomp,1
376,violate,COUNT,2
377,violate,dobj,2
378,violate,mark,1
379,violate,nsubj,1
380,violate,prep,1
381,have,COUNT,354
382,have,nsubj,75
383,have,xcomp,9
384,have,dobj,85
385,have,prep,17
386,have,advcl,6
387,have,cc,7
388,have,conj,8
389,have,mark,6
390,have,advmod,16
391,have,ccomp,6
392,have,expl,1
393,have,aux,12
394,have,npadvmod,3
395,have,neg,3
396,frequent,COUNT,1
397,frequent,nsubjpass,1
398,frequent,aux,1
399,frequent,auxpass,1
400,frequent,agent,1
401,locate,COUNT,144
402,locate,prep,152
403,locate,advmod,16
404,locate,nsubjpass,30
405,locate,auxpass,30
406,locate,cc,12
407,locate,conj,12
408,locate,npadvmod,3
409,locate,advcl,2
410,locate,mark,2
411,locate,ccomp,1
412,locate,aux,1
413,locate,neg,1
414,locate,dobj,3
415,locate,nsubj,2
416,found,COUNT,25
417,found,agent,14
418,found,prep,21
419,found,nsubjpass,3
420,found,auxpass,4
421,found,xcomp,1
422,found,dep,1
423,found,nsubj,3
424,found,npadvmod,1
425,found,dobj,2
426,found,advmod,1
427,play,COUNT,433
428,play,prep,454
429,play,dobj,34
430,play,nsubj,42
431,play,advcl,14
432,play,nsubjpass,103
433,play,auxpass,112
434,play,npadvmod,12
435,play,advmod,13
436,play,aux,19
437,play,conj,26
438,play,mark,58
439,play,cc,23
440,play,meta,1
441,play,amod,2
442,play,ccomp,1
443,play,agent,12
444,play,det,1
445,publish,COUNT,67
446,publish,nsubjpass,13
447,publish,auxpass,14
448,publish,prep,51
449,publish,agent,27
450,publish,npadvmod,3
451,publish,nsubj,4
452,publish,dobj,5
453,publish,advmod,10
454,publish,aux,1
455,publish,mark,1
456,publish,ccomp,2
457,publish,cc,2
458,publish,conj,2
459,publish,advcl,1
460,vote,COUNT,14
461,vote,nsubjpass,2
462,vote,auxpass,2
463,vote,oprd,2
464,vote,prep,13
465,vote,aux,5
466,vote,nsubj,7
467,vote,advcl,4
468,vote,agent,1
469,vote,cc,2
470,vote,conj,2
471,vote,npadvmod,2
472,vote,dobj,1
473,purchase,COUNT,6
474,purchase,advmod,2
475,purchase,agent,1
476,purchase,nsubjpass,4
477,purchase,auxpass,4
478,purchase,cc,2
479,purchase,conj,2
480,purchase,prep,4
481,purchase,nsubj,1
482,purchase,dobj,1
483,derive,COUNT,3
484,derive,nsubjpass,2
485,derive,auxpass,2
486,derive,prep,3
487,replace,COUNT,17
488,replace,ccomp,1
489,replace,nsubjpass,6
