@relation PL
@ATTRIBUTE HomeValue NUMERIC
@ATTRIBUTE AwayValue NUMERIC
@ATTRIBUTE HomePtsSeas NUMERIC
@ATTRIBUTE AwayPtsSeas NUMERIC
@ATTRIBUTE HomePtsLast NUMERIC
@ATTRIBUTE AwayPtsLast NUMERIC
@ATTRIBUTE HomePtsHome NUMERIC
@ATTRIBUTE AwayPtsAway NUMERIC
@ATTRIBUTE HomeGoalsSeas NUMERIC
@ATTRIBUTE AwayGoalsSeas NUMERIC
@ATTRIBUTE HomeGoalsLast NUMERIC
@ATTRIBUTE AwayGoalsLast NUMERIC
@ATTRIBUTE HomeGoalsHome NUMERIC
@ATTRIBUTE AwayGoalsAway NUMERIC
@ATTRIBUTE HomeGoalsConcSeas NUMERIC
@ATTRIBUTE AwayGoalsConcSeas NUMERIC
@ATTRIBUTE HomeGoalsConcLast NUMERIC
@ATTRIBUTE AwayGoalsConcLast NUMERIC
@ATTRIBUTE HomeGoalsConcHome NUMERIC
@ATTRIBUTE AwayGoalsConcAway NUMERIC
@ATTRIBUTE Winner {H, D, A}
@data
5.58,2.37,2,1.57,2.33,0.67,2.33,1.86,1.43,1.79,1.67,1,1.5,1.86,0.71,1.5,0.67,2,0.17,1.43,D
5.58,0.61,1.81,0.88,0.67,0.67,2.14,0.62,1.31,1.12,0.67,0.67,1.29,1.12,0.75,1.75,1,1.33,0.14,2.25,A
5.58,0.72,1.66,0.48,2,0,2.07,0.38,1.22,0.7,0.67,0.33,1.33,0.69,0.94,1.94,1,2.33,0.47,2.06,H
5.58,2.95,1.67,1.31,2,1,2,1.69,1.27,1.76,0.67,1.67,1.36,1.69,0.9,1.41,0.33,2,0.5,1,H
5.58,6.4,2.11,2.33,2,2,2.5,2.25,1.67,2.67,2,4,1.75,1.75,0.89,0.89,1,2,0.25,1,D
5.58,1.05,1.91,1.27,1.67,2,2.2,2,1.36,0.91,1,1.33,1.4,0.6,0.73,1.27,0,1,0.2,0.4,H
5.58,1.27,1.63,1.37,1.33,1.33,1.92,1.38,1.33,1.07,1.67,0.67,1.38,1.23,0.96,1.04,1.67,0.67,0.54,1.31,H
5.58,5.74,1.58,1.96,1.33,2.33,1.83,1.85,1.27,1.58,1.67,1.33,1.25,1.77,0.92,0.88,1,0.33,0.42,1.15,H
5.58,0.77,2.17,0.33,2,0.33,2.33,0.33,1.5,1,2.33,0.67,1.33,1.33,0.83,2.17,1.67,1.67,0.33,2.67,H
5.58,5.97,1.61,1.06,0,1.33,1.88,0.62,1.22,1.28,0.67,2,1.25,1,0.89,1.61,2,1.67,0.38,1.88,D
