5.74,2.95,1.68,1.24,1,1.33,2.42,0.67,1.84,1.12,2,12.58,0.67,1.36,1.6,2,2,1.08,1.92,16.72,9.16,6.5,3.08,10.4,14.72,3.6,5,62.92,44.92,10.36,44.92,D
1.22,1.52,1.12,0.96,2.33,1.33,1.25,0.5,1.12,1,2,0.671.33,0.83,1.44,2,0.67,1,1.5,2.5,11.6,10.76,4.04,3.68,14.44,13.88,4.48,5.28,47.04,42.72,8.64,42.72,D
0.61,2.37,0.96,1.08,0.33,1.67,1.25,0.85,0.72,1.24,0.33,21,1.31,1.36,1.72,2.33,1,1.5,2,9.32,9.84,2.72,3.64,15.12,14.76,4.92,4.52,44.88,44.92,10.68,44.92,D
0.82,6.4,1.4,2.72,0.33,2,1.42,2.58,0.8,2.92,0.33,30.67,2.33,0.88,0.72,1,1.67,0.75,0.75,9.88,17.88,3.29,7.44,15.92,6.56,4.04,2.32,42.8,72.08,9.52,72.08,D
1.72,1.4,1.04,0.96,1.33,0.67,1.33,0.92,0.92,0.92,1,11.25,1,1.52,1.4,1.67,1.67,1.5,1.67,12.76,12.04,3.68,4.08,11.84,13.36,4.64,4.44,45.28,40.88,11.32,40.88,D
2.11,1.47,1.36,0.92,1.33,2.33,1.67,0.75,1.48,0.72,1,1.671.5,0.67,1.36,1.44,0.67,0.67,1.17,1.5,10.28,8.44,3.48,2.52,14.16,14.32,4.48,5.2,45.44,45.28,9.52,45.28,D
4.57,4.63,2,1.92,2,2.33,2.17,1.67,2.28,1.96,2.33,2.332.08,1.75,1.16,0.88,1.33,0.33,0.58,1.08,17.76,17.76,6.48,5.76,7.6,8.68,2.92,3,59.84,61.6,9.52,61.6,D
5.58,0.51,2.12,0.96,2,0,2.42,0.67,1.96,0.76,1.33,0.332.25,0.67,0.72,1.76,0.67,3,0.42,2.08,14.12,8.96,4.88,2.92,12.12,11.4,4.38,4.56,53.24,46.6,11.64,46.6,D
1.27,5.97,1.08,2,0.67,1.33,1.08,2,1.32,1.8,0.67,1.331.33,2,1.76,0.76,1.33,1,2.08,0.75,11.44,16.56,3.08,6.28,11.76,9.8,4.6,2.79,50.04,56.52,12,56.52,D
1.05,2.39,0.8,0.92,1.33,1,1.08,0.73,0.76,1,1,1.331,0.82,1.36,1.44,1.33,1.33,1.25,1.55,10.16,12.32,3.08,3.32,13.36,13.56,4.08,4.83,39.84,53.16,11.6,53.16,D
